"question_number","section","clause_reference","question_text"
47,"Supplier Qualification (Section D)","4.3.2","A risk-based supplier qualification program is established and implemented for all ingredients. The program includes a supplier/ingredient risk evaluation, appropriate qualification activities as determined by the risk evaluation, and assurance that only approved suppliers are used. [21CFR117.405 & 21CFR117.410]"
48,"Supplier Qualification (Section D)","4.5.28","A planned deviation process shall be established to expedite the approval of raw materials, packaging materials, and other component suppliers as necessary on an emergency basis."
49,"Supplier Qualification (Section D)","4.5.25","Direct importers of components, bulk dosage forms, or finished dietary supplements shall be established and implemented a foreign supplier verification program (FSVP). [21CFR1.511]"
50,"Supplier Qualification (Section D)","4.5.26","Receiving, sampling, testing, release procedures shall be established to fulfill Subpart G - Production and Process Control System: Requirements for Components, Packaging, and Label. [21CFR111.153]"
51,"Supplier Qualification (Section D)","4.6.8","Dietary ingredients shall be sampled, tested, and released prior to use in production. Conduct at least one appropriate test or examination to verify the identity of the dietary ingredient (unless the company has submitted a petition for an ID test exemption that has approved by the FDA). [21CFR111.75(a1)]"
52,"Supplier Qualification (Section D)","4.6.9","Other raw materials or components (i.e., those that are not dietary ingredients) shall be sampled, tested (or confirmed), and released prior to use in production. Conduct appropriate tests or examinations (or rely on Certificate of Analysis (COA) from the qualified supplier). [21CFR111.75(a2i)]"
53,"Supplier Qualification (Section D)","4.5.34","Packaging and labeling materials shall be visually examined, at a minimum, and shall be reviewed against the supplier's invoice, guarantee, or certification to determine conformance with specifications. [21CFR111.75(f) & 21CFR111.155]"
54,"Supplier Qualification (Section D)","4.5.36","For products that are received for packaging and labeling, visual examinations shall be performed, and documentation is available to determine whether the product meets established specifications. [21CFR111.75(e)]"
55,"Supplier Qualification (Section D)","4.5.27","QC operations shall review and approve components, labels and packaging materials for intended use. [21CFR111.120]"
56,"Supplier Qualification (Section D)","4.5.33","QC requirements shall be established for packaging materials and labels. [21CFR111.160]"
57,"Supplier Qualification (Section D)","4.5.35","QC requirements shall be established for products that are received for packaging and labeling as a dietary supplement and bulk finished product. [21CFR111.165]"
58,"Supplier Qualification (Section D)","4.4.40","Receiving records shall be made and kept for components, packaging, and labels, and for products received for packaging and labeling. [21CFR111.180]"
59,"Product Safety (Section E)","4.3.1","A hazard analysis shall be conducted to identify and evaluate known or reasonably foreseeable hazards for each type of dietary supplement to determine whether there are hazards requiring specifications and process controls. [21CFR111.70 & 21CFR117.130]"
60,"Product Safety (Section E)","4.5.46","A food allergen control program shall be in place."
61,"Product Safety (Section E)","4.5.13","The production facility shall be maintained in a clean and sanitary condition and in a proper state of repair. [21CFR111.15(b1), (b2)]"
62,"Product Safety (Section E)","4.5.14","Procedures shall be established for cleaning of the plant. [21CFR111.16]"
63,"Product Safety (Section E)","4.5.17","Cleaning and sanitizing compounds shall be established for cleaning the facility. These agents shall be safe and adequate under the conditions of use; and shall be free of organisms that are of public health significance. [21CFR111.15 (c1), 21CFR111.27(d6), & 21CFR117.35(b1)]"
64,"Product Safety (Section E)","4.5.18","Cleaning and sanitizing agents, lubricants, pesticides, chemicals, and fungicides shall be identified, used, and held and stored in a manner that protects against adulteration of raw materials and in-process or finished products, and against contamination of processing equipment, utensils, and packaging materials. [21CFR111.15(c3)]"
65,"Product Safety (Section E)","4.5.16","Procedures for maintenance, cleaning, and sanitization of all equipment, utensils, and contact surfaces are established and records of sanitation shall be maintained. [21CFR111.35(a), (b1iii) & 21CFR111.25(c)]"
66,"Product Safety (Section E)","4.5.21","Procedures shall be established for cleaning and sanitizing all filling and packaging equipment and utensils. [21CFR111.415(a)]"
67,"Product Safety (Section E)","4.5.15","All equipment, instruments, utensils, contact surfaces, etc., shall be maintained, cleaned and sanitized (to include disassembly as required by procedure) as necessary. [21CFR111.27(d)]"
68,"Product Safety (Section E)","4.5.23","Portable equipment and utensils shall be properly stored after cleaning and sanitization. [21CFR111.27(d7)]"
69,"Product Safety (Section E)","4.5.22","Surfaces that do not come into direct contact with components or dietary supplements shall be cleaned. [21CFR111.27(d4)]"
70,"Product Safety (Section E)","4.5.44","Manufacturing operations shall be conducted using adequate sanitation principles. [21CFR111.360]"
71,"Product Safety (Section E)","4.5.45","Throughout the manufacturing process precautions shall be taken to prevent contamination, such as microbial, filth, chemical, foreign material, etc. [21CFR111.365(a), (b), (c), (d), (e), (f), (g)]"
72,"Product Safety (Section E)","4.5.47","Manufacturing operations shall include controls in manufacturing steps to prevent contamination, including metal detection. [21CFR111.365(h), (i)]"
73,"Product Safety (Section E)","4.5.38","Weighing operations shall be done in a controlled area so as to not cause contamination."
74,"Product Safety (Section E)","4.5.19","Low moisture processing: Equipment, utensils, and contact surfaces shall be dry and sanitized. If wet-cleaned, drying and sanitization shall be performed. [21CFR111.27(d2)]"
75,"Product Safety (Section E)","4.5.20","Wet processing: Contact surfaces shall be cleaned and sanitized before use and after any interruptions. [21CFR111.27(d3)]"
76,"Product Safety (Section E)","4.5.3","The use of wood and non-wood pallets is controlled to prevent possible contamination of exposed raw materials and products"
77,"Facilities (Section F)","4.4.1","A master site plan or facility diagram/floor plan shall be on file reflecting the current layout of the building."
78,"Facilities (Section F)","4.4.2","All facilities shall be of adequate size, construction, and design for their intended use. [21CFR111.20(a)]"
79,"Facilities (Section F)","4.5.1","Areas shall be clearly defined with adequate space to allow for effective receiving, inspection, holding and staging, component and finished good quarantine, finished goods, dietary supplements, packaging, and labeling. [21CFR111.20(b), (c1), (c2), (c3)]"
80,"Facilities (Section F)","4.5.2","There shall be adequate precautions against contamination by microorganisms, chemicals, filth, or other extraneous materials. [21CFR111.20(c)]"
81,"Facilities (Section F)","4.4.6","In areas where open vessels are used, there shall be adequate protection against contamination including the use of protective coverings, physical location, use of skimming equipment. [21CFR111.20(g)]"
82,"Facilities (Section F)","4.5.4","Areas shall be separate for laboratory analysis and supplies. [21CFR111.20 (c4), (c5), (c6), (c7)]"
83,"Facilities (Section F)","4.4.15","Appropriate changing rooms shall be available and have adequate storage of personal effects. [21CFR111.10(67)]"
84,"Facilities (Section F)","4.4.3","Working areas shall have adequate access and space, aisles are clear, etc. to allow for persons to perform their duties and protect against contamination or mix-ups. Use of fans and other air-blowing equipment shall be located and operated in a manner that minimizes the potential for contamination with particulates and microorganisms. [21CFR111.20(d1v), 21CFR111.20(d2)]"
85,"Facilities (Section F)","4.4.8","Production area walls, floors, ceilings shall be adequately cleaned and shall be kept in good repair. [21CFR111.20(d1i)]"
86,"Facilities (Section F)","4.4.13","Toilet and hand washing facilities shall be provided, shall be of adequate number and location, shall be kept clean, and shall not be a potential source of contamination to components, products, contact surfaces, etc. [21CFR111.15(h)]"
87,"Facilities (Section F)","4.4.14","Hand washing facilities shall be constructed and located in appropriate areas to ensure proper hand washing of personnel. [21CFR111.15(i)]"
88,"Facilities (Section F)","4.5.5","Equipment shall be of appropriate design and construction (corrosion-resistant, made of non-toxic materials, seamless (if seams exist, are easily cleanable and do not provide a place for accumulation of potential contaminants)) so as to not contaminate components, products, or contact surfaces with lubricants, fuel, coolants, metal or glass fragments, filth or any extraneous materials, contaminated water, or other contaminants. Equipment shall be installed and maintained to facilitate cleaning and are inspected at routine intervals for signs of wear, damage, etc. [21CFR111.27(a3i), (a3ii), (a3iii)]"
89,"Facilities (Section F)","4.5.6","Utensil surfaces shall be corrosion-resistant, made of nontoxic materials, maintained to facilitate cleaning, and are inspected at routine intervals for signs of wear, damage, etc. [21 CFR § 111.27(a3i), (a3ii), (a3iii)]"
90,"Facilities (Section F)","4.4.12","For any automated, mechanical, or electronic equipment the manufacturer shall have established appropriate controls to ensure that equipment functions in accordance with its intended use, including power backup for critical systems. [21CFR111.30(e)]"
91,"Facilities (Section F)","4.5.8","Automated, mechanical, laboratory or electronic equipment shall be suitable for intended use, functioning properly, and be adequately designed. [21CFR111.30(a), (b), (c), (d), (e)]"
92,"Facilities (Section F)","4.5.7","Equipment logbooks shall be maintained for each equipment and include the date of use, and any documentation of cleaning, sanitization, maintenance, etc. (unless the documentation is in the batch record). [21CFR111.35(b2)]"
93,"Facilities (Section F)","4.5.9","Documentation shall be maintained of the controls used that ensure that equipment functions in accordance with its intended use. [21CFR111.35(b6)]"
94,"Facilities (Section F)","4.5.10","Disposable items (single-service) shall be stored in appropriate containers; handled, used, dispensed, and disposed of in a manner that protects against contamination. [21CFR111.27(d5)]"
95,"Facilities (Section F)","4.4.9","Fixtures, ducts, piping, etc., are kept clean, shall not drip or leak or provide a source of condensation that could contaminate components, products, or product contact surfaces. [21CFR111.20(d1ii)]"
96,"Facilities (Section F)","4.4.10","Plumbing shall be of adequate size and design for the intended usage. [21CFR111.15(f)]"
97,"Facilities (Section F)","4.5.29","The water supply and delivery system shall be safe and sanitary. Water that may contact a product contact surface or is, in fact, a component shall meet U.S. federal, state and local requirements for drinking water. [21CFR111.15(e), (f3) & 21CFR 117.37(a)]"
98,"Facilities (Section F)","4.5.30","Water sources shall not act as a potential source of contamination of the dietary supplement, either due to water purity or due to the configuration and construction of the water delivery system."
99,"Facilities (Section F)","4.5.32","Records shall be maintained to show that the quality of water, when used as a component of the dietary supplement, meets the requirements of 111.15(e2). [21CFR111.23(c)]"
100,"Facilities (Section F)","4.4.11","Floor drainage shall be adequate providing immediate and continuous drainage, with no pooling and equipped with proper drain covers, etc. [21CFR111.15(f4)]"
101,"Facilities (Section F)","4.5.31","Backflow and cross-connection prevention shall be in place."
102,"Facilities (Section F)","4.4.16","Waste treatment and disposal shall be adequate and does not provide a source of potential contamination. [21CFR111.15(a4)]"
103,"Facilities (Section F)","4.4.17","Solid waste and trash shall be disposed of appropriately, not allowed to accumulate, and does not provide a potential source of contamination to components, products, contact surfaces, etc. [21CFR111.15(j)]"
104,"Facilities (Section F)","4.4.18","Hazardous waste shall be properly controlled so as not to provide a potential source of contamination to components, products, contact surfaces, etc. [21CFR111.15(j4)]"
105,"Facilities (Section F)","4.4.19","Sewage and waste disposal shall be properly plumbed from the facility and does not provide a potential source of contamination to contact surfaces, products, components, water supplies, etc. [21CFR111.15(g)]"
106,"Facilities (Section F)","4.4.27","Adequate ventilation and airflow shall be provided in all areas of the facility. [21CFR111.20(d1iii)]"
107,"Facilities (Section F)","4.5.12","Process gases that are used and contact dietary supplements, components, and contact surfaces shall be controlled so as not to cause contamination (e.g., filters). [21CFR111.27(a7)]"
108,"Facilities (Section F)","4.4.28","Adequate lighting shall be provided in all production areas, examination areas, where equipment is cleaned, examined, etc."
109,"Facilities (Section F)","4.4.29","Lighting that shall be suspended or located above areas where materials or equipment are exposed shall use safety-type bulbs or the facility shall be constructed in a manner that will protect against contamination with glass, etc. [21CFR111.20(f)]"
110,"Facilities (Section F)","4.4.30","Temperature and humidity control equipment shall be of adequate design for its intended function and is functioning properly. [21CFR111.20(d1iv)]"
111,"Facilities (Section F)","4.4.20","Procedures and programs shall be established for maintaining equipment including for calibration of all instruments, controls, automated, mechanical, laboratory, and electronic equipment, etc. [21CFR111.25]"
112,"Facilities (Section F)","4.4.21","Instruments and controls that are important to product quality and safety shall be accurate and precise, adequately maintained, and adequate in number. [21CFR111.27(a6)]"
113,"Facilities (Section F)","4.4.22","Complete records shall be made and kept of any calibration of instruments and controls that are important to product quality and safety. [21CFR111.35(b3)]"
114,"Facilities (Section F)","4.4.23","QC operations reviews and approves all processes and/or procedures for calibrating equipment, instruments, and controls; including the periodic review of calibration records, etc. [21CFR111.117]"
115,"Facilities (Section F)","4.4.24","Procedures shall be established to prevent entrance to the facility by pests and animals, including screens and barriers, rodent traps, insect traps or lights, etc. [21CFR111.15(d1),(d2)]"
116,"Facilities (Section F)","4.4.4","Grounds shall be properly maintained through the removal of litter and waste, cutting of grass and weeds adjacent to the plant, maintenance of roads and parking lots, providing adequate drainage, etc. [21CFR111.15(a1), (a2), (a3)]"
117,"Facilities (Section F)","4.4.5","Entrances to the facilities shall be properly controlled and maintained to prevent contamination. [21CFR111.15(a5)]"
118,"Facilities (Section F)","4.4.25","Pest control procedures shall be established for the appropriate use of any insecticides, fungicides, fumigants, rodenticides, etc. [21CFR111.15(d3)]"
119,"Facilities (Section F)","4.4.7","Production areas shall not provide harborage for pests, pest infestation, filth, etc. (e.g., adequate screening and other measures are used). [21CFR111.20(h)]"
120,"Facilities (Section F)","4.4.26","Records shall be maintained for plant cleaning and pest control in accordance with Subpart P - Records and Recordkeeping. [21CFR111.23(a), (b)]"
121,"Production and Process Controls - Manufacturing Operations (Section G)","4.5.49","Production and process control systems shall be implemented for each production process and/or product. [21CFR111.55]"
122,"Production and Process Controls - Manufacturing Operations (Section G)","4.2.4","QC operations and authority shall be established for master manufacturing record and batch production record. [21CFR111.123(a1), (a2),(a3)]"
123,"Production and Process Controls - Manufacturing Operations (Section G)","4.3.3","Manufacturing processes shall be designed to produce a product that consistently meets specifications. [21CFR111.355]"
124,"Production and Process Controls - Manufacturing Operations (Section G)","4.3.4","Production and processes shall be designed to ensure the quality of the product and the QC unit has approved the control systems. [21CFR111.60]"
125,"Production and Process Controls - Manufacturing Operations (Section G)","4.5.39","Master manufacturing records shall be prepared for each unique formulation and batch size of the dietary supplement. [21CFR111.205(a)]"
126,"Production and Process Controls - Manufacturing Operations (Section G)","4.5.40","The master record shall identify specifications for the control points, steps, or stages in the manufacturing process where control is necessary to ensure the quality of the dietary supplement. [21CFR111.205(b1), (b2)]"
127,"Production and Process Controls - Manufacturing Operations (Section G)","4.5.41","Master manufacturing records shall contain all the required elements as defined in 21 CFR111.210. [21CFR111.210]"
128,"Production and Process Controls - Manufacturing Operations (Section G)","4.5.42","For each manufactured batch of dietary supplement, the batch production record shall accurately follow the master manufacturing record with all steps being performed, and it shall contain complete information related to the production and control of the batch. Batch production records shall be maintained for at least one year after the shelf life date, if shelf life dating is being used, or at least two years beyond the date of distribution of the last batch associated with those records. [21CFR111.255]"
129,"Production and Process Controls - Manufacturing Operations (Section G)","4.5.43","The batch record shall follow the master record and each step shall be performed appropriately. [21CFR111.260]"
130,"Production and Process Controls - Manufacturing Operations (Section G)","4.5.48","Manufacturing operations shall include the identification of all process lines and major equipment used during manufacturing to indicate their contents, including the name of the dietary supplement and the specific batch or lot number, and when necessary, the phase of manufacturing. [21CFR111.365(j), (k)]"
131,"Production and Process Controls - Manufacturing Operations (Section G)","4.5.50","Records shall be established and shall be maintained to meet the requirements of Subpart K - Production and Process Control System: Requirements for Manufacturing Operations. [21CFR111.375]"
132,"Production and Process Controls - Packaging Operations (Section G)","4.5.51","A master manufacturing record shall include instructions for filling, assembling, packaging, labeling, and other related operations. [21CFR111.415]"
133,"Production and Process Controls - Packaging Operations (Section G)","4.6.3","Packaging and labeling materials shall be examined before usage to determine that they conform to the master manufacturing record. [21CFR111.410(c)]"
134,"Production and Process Controls - Packaging Operations (Section G)","4.5.52","Procedures shall be established for all packaging and labeling operations. [21CFR111.403]"
135,"Production and Process Controls - Packaging Operations (Section G)","4.5.53","QC operations shall be established for packaging and labeling. [21CFR111.127]"
136,"Production and Process Controls - Packaging Operations (Section G)","4.5.59","Filling and packaging operations shall be appropriately protected from contamination sources (e.g., airborne) by using sanitary procedures. [21CFR111.415(b), (c)]"
137,"Production and Process Controls - Packaging Operations (Section G)","4.5.54","Packaging and labeling of the finished packaged and labeled dietary supplement shall be visually examined, at a minimum, to determine that the correct packaging and labeling has been used. [21CFR111.75(g)]"
138,"Production and Process Controls - Packaging Operations (Section G)","4.5.55","The condition of the packaging shall meet the specifications required to ensure the quality of the dietary supplements being packaged. [21CFR111.410(a)]"
139,"Production and Process Controls - Packaging Operations (Section G)","4.5.56","Packaging and labels shall be controlled for issuance and are reconciled after use. [21CFR111.410(b)]"
140,"Production and Process Controls - Packaging Operations (Section G)","4.5.58","Separation shall be implemented to prevent mix-ups with other components and dietary supplements. [21CFR111.415(d)]"
141,"Production and Process Controls - Packaging Operations (Section G)","4.5.60","Procedures shall be established to identify unlabeled materials that will be held for future labeling operations to prevent mix-ups. [21CFR111.415(e)]"
142,"Production and Process Controls - Packaging Operations (Section G)","4.5.61","Procedures shall be established for assigning a lot or batch number for each lot of packaged and labeled dietary supplement. [21CFR111.415(f)]"
143,"Production and Process Controls - Packaging Operations (Section G)","4.5.62","Disposal procedures shall be established for disposing of labels or packaging materials that are obsolete or incorrect to ensure that they are not used. [21CFR111.415(h)]"
144,"Production and Process Controls - Packaging Operations (Section G)","4.5.66","All repackaging or relabeling operations shall be first approved by the QC unit. [21CFR111.420(a)]"
145,"Production and Process Controls - Packaging Operations (Section G)","4.6.13","Representative samples of each batch of repackaged or relabeled dietary supplement shall be examined to determine if they conform to specifications. [21CFR111.420(b)]"
146,"Production and Process Controls - Packaging Operations (Section G)","4.5.67","QC unit shall disposition each batch of repackaged or relabeled dietary supplement prior to release for distribution. [21CFR111.420(c)]"
147,"Production and Process Controls - Packaging Operations (Section G)","4.5.63","Records shall be established and are being maintained to meet the requirements of Subpart L - Product and Process Control System: Requirements for Packaging and Labeling Operations. [21CFR111.430]"
148,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.7","A system shall be established to determine if all specifications that are established have been met. [21CFR111.73]"
149,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.3.5","Specifications shall be established for components, in-process materials, labels, packaging components, and finished product. The basis is adequately documented for how meeting the in-process specifications, in combination with meeting component specifications, will help ensure that the dietary supplement specifications will be met. [21CFR111.70]"
150,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.4.39","Records shall be maintained of specifications, supplier qualification, and testing to ensure product meets purity, strength and composition. [21CFR111.95]"
151,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.1","Procedures shall be established for the collection of representative samples. [21CFR111.80]"
152,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.4","Procedures shall be established to sample a representative number of units to assure compliance with specifications. [21CFR111.415(g)]"
153,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.2","Samples shall be collected in a controlled area so as to not cause contamination"
154,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.5","Procedures shall be established for the collection of reserve samples for each lot of finished material. [21CFR111.83]"
155,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.6","Reserve samples shall be held under appropriate conditions (e.g., temperature, humidity, and light) and shall not lead to a mix-up, contamination, or deterioration. [21CFR111.465]"
156,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.11","QC operations shall determine if process and product specifications have been met. The product shall not be released if it does not meet the specifications, unless QC approved deviations have been documented. [21 CFR § 111.123(a), (b)]"
157,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.12","The QC person shall be responsible for making the material review and disposition decision shall document the review and disposition decision at the time of performance. [21CFR111.113(c)]"
158,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.6.10","Proper testing procedures or programs shall be established to determine if in-process and finished product specifications for purity, composition, and strength of the dietary supplement have been met. The basis for performing reduced-testing shall be adequately documented and it justifies how the testing procedures or program selected will help ensure that the full-specification for the dietary supplement will be met. [21CFR111.75(b), (c), (d)]"
159,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.7.1","Procedures and controls shall be established for investigation and handling of materials or processing that do not meet specification requirements. [21CFR111.77]"
160,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.7.2","QC personnel shall conduct a material review and make disposition decisions to approve treatments, in-process adjustments, and reprocessing when there is a deviation or unanticipated occurrence or when a specification is not met. [21CFR111.90]"
161,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.64","QC personnel shall authorize a treatment, in-process treatment, or reprocessing in an attempt to correct a deviation or unexpected event, or specification deficiency. [21CFR111.113(b)]"
162,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.65","Reprocessing controls shall be established and meet all requirements and have been approved by the QC unit. [21CFR111.90(a), (b)]"
163,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.77","Any reprocessed material shall meet its original specification and the QC unit appropriately dispositions the material (release or reject). [21CFR111.525]"
164,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.79","Documentation shall be maintained for material reviews and dispositions, all testing results, any reevaluations by the QC unit for reprocessed materials. [21CFR111.535(b1), (b2), (b3), (b4)]"
165,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.75","Procedures shall be established for the handling of returned dietary supplements that include appropriately quarantining the returned product until dispositioned by the QC unit. Procedures shall be established for salvage and reprocessing operations according to Subpart P - Records and Recordkeeping. [21CFR111.503, 21CFR111.510, & 21CFR111.535(a)]"
166,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.76","QC operations shall be established to handle returned dietary supplements. Any returned dietary supplement shall be either destroyed or disposed of unless the QC unit has determined that the material can be salvaged or reprocessed. Any salvaged material shall be approved by the QC unit following a material review and disposition. [21CFR111.130, 21CFR111.515, & 21CFR111.520]"
167,"Production and Process Controls - Specifications, Product Release and Returns (Section G)","4.5.78","If the reason for a return implicates other batches, an investigation shall be performed to determine if those batches comply with specifications. [21CFR111.530]"
